證券代號,股本
5522,78.1596241
5525,31.8105378
5531,107.7589245
5533,28.5244944
5534,31.532596
5538,20.1203333
5546,8.2353402
5607,37.0552913
5608,38.9271614
5706,8.491092
5871,186.1421161
5876,486.160314
5880,1568.0936914
5906,3.5741412
5907,19.5531
6005,217.0908097
6024,24.9937584
6108,15.4494311
6112,18.8357336
6115,18.7662154
6116,285.8654851
6117,9.2545408
6120,59.8999602
6128,12.758874
6133,11.7006294
6136,11.5536412
6139,23.5575724
6141,11.3354005
6142,33.0779215
6152,16.7738463
6153,63.6177694
6155,8.8023988
6164,8.0
6165,7.7752623
6166,21.7699257
6168,20.5761801
6176,46.5027263
6177,47.1891426
6183,15.0
6184,15.8230657
6189,26.3779657
6191,49.9303
6192,9.615577
6196,22.0329529
6197,12.2085882
6201,8.92
6202,23.03882
6205,8.2235907
6206,14.3062324
6209,17.5410921
6213,36.3417218
6214,27.2243066
6215,8.2789693
6216,9.6981387
6224,8.5645361
6225,2.78
6226,11.5534789
6230,8.6343396
6235,19.9906306
6239,75.9146634
6243,4.5268841
6257,48.3912325
6269,32.3831481
6271,20.9058024
6272,8.1763948
6277,11.9471166
6278,29.2398353
6281,9.9172945
6282,85.6029125
6283,14.8981343
6285,48.3663719
6405,6.58
6409,8.7703566
6412,40.0769126
6414,14.5886397
6415,9.72370268
6416,7.334846
6426,3.8509
6431,9.7398835
6438,8.2206325
6442,7.8073288
6443,53.8691466
6446,37.990937
6449,9.1898514
6451,10.8642236
6456,33.79398
6464,12.8781532
6472,12.773457
6477,12.3787196
6491,7.8
6504,7.26
6505,952.5959652
6515,3.6041642
6525,12.9047384
6526,16.7505554
6531,8.1353766
6533,5.0650911
6534,10.28
6541,26.4986367
6550,85.9892688
6552,8.3
6558,9.3788875
6573,8.0499345
6579,16.9451221
6581,11.1270887
6582,10.6174141
6585,7.2133587
6589,30.6861302
6591,4.1122465
6592,72.3150493
6598,10.2819061
6605,16.5816397
6606,11.0303783
6614,8.0660521
6625,5.7972488
6641,3.65
6645,6.086405
6655,8.0571817
6657,8.8808
6658,3.637
6666,4.7388
6668,10.7116087
6669,18.5840791
6670,13.9386973
6671,6.075
6672,7.1434745
6674,6.8550659
6689,6.8
6691,12.1487209
6695,9.645965
6698,6.6389753
